case_id	array_length	rank	period	peak_height	score	score2	score2_norm	background
hor_0013	11860	14	3	34	0.0028687141	0.0045468043	0.0015942616	13.8232
hor_0013	11860	15	6	33	0.0027850452	0.0071992373	0.0025242933	16.4155
hor_0013	11860	21	76	25	0.0021224213	0.0132607342	0.0046496568	22.9943
hor_0013	11860	20	82	25	0.0021235029	0.0135002803	0.0047336497	23.3646
hor_0013	11860	12	89	37	0.0031446541	0.0203639416	0.0071402788	23.8376
hor_0013	11860	19	126	25	0.002131469	0.0148718559	0.00521457	20.6375
hor_0013	11860	16	130	30	0.0025586354	0.0179676788	0.006300069	20.5375
hor_0013	11860	9	138	40	0.0034138431	0.0242673874	0.0085089575	21.2905
hor_0013	11860	1	220	1106	0.0950580146	0.7396806053	0.2593567529	22.1775
hor_0013	11860	3	439	328	0.0287316048	0.2522082427	0.088432643	18.2789
hor_0013	11860	7	655	60	0.0053571429	0.0501179523	0.0175730299	19.9698
hor_0013	11860	5	659	104	0.0092890318	0.0869837446	0.0304994093	19.9927
hor_0013	11860	13	662	33	0.0029482712	0.0276273282	0.009687065	19.9176
hor_0013	11860	17	876	27	0.0024592404	0.0240385509	0.0084287197	17.661
hor_0013	11860	6	878	70	0.00637697	0.0623545048	0.0218635743	17.6909
hor_0013	11860	18	1098	26	0.0024170308	0.0244136117	0.0085602286	17.4214
hor_0013	11860	23	1100	18	0.0016736402	0.0169092683	0.0059289549	17.3201
hor_0013	11860	22	1311	19	0.0018019727	0.0186620436	0.0065435365	16.0705
hor_0013	11860	4	1314	211	0.0200170762	0.2073718961	0.0727115207	15.9281
hor_0013	11860	2	1318	351	0.0333111891	0.3452416498	0.1210532663	15.7144
hor_0013	11860	11	2631	31	0.0033607979	0.0381833545	0.0133883608	11.0102
hor_0013	11860	10	2633	31	0.0033615268	0.0381953205	0.0133925565	11.1032
hor_0013	11860	8	2637	44	0.0047732697	0.0542466914	0.0190207039	11.2197
hor_0013	11860	24	3949	9	0.0011383759	0.0136004863	0.0047687853	8.3474
hor_0013	11860	25	5490	6	0.0009426551	0.0117102188	0.0041059943	5.8116
hor_0013	11860	26	5928	5	0.0008435971	0.0105730806	0.0037072756	4.5181
